Model,Train Loss,Test Loss,Train Accuracy (%),Test Accuracy (%)
32,1.4844251667905806,1.4743836839523055,49.494,48.84
64,1.237895248979605,1.3922015939008687,59.372,51.68000000000001
128,1.0889486643806825,1.368760202153946,66.036,53.21
