Model,Train Loss,Test Loss,Train Accuracy (%),Test Accuracy (%)
32,1.3947649713390307,1.4604970786902183,52.406,48.620000000000005
64,1.2917865778319706,1.422956939283942,56.904,50.56
128,1.2254296850186464,1.3991026196831116,60.168,51.03
256,1.2811135546093144,1.4318301630010186,58.274,49.88
