Model,Train Loss,Test Loss,Train Accuracy (%),Test Accuracy (%)
ReLU,1.401103552450267,1.5215099941489914,53.768,47.63
Exact GELU,1.239096759141847,1.4103735537012712,60.218,50.72
Approximated GELU,1.2541722474133108,1.4285039073313295,59.624,50.32
