Model,Train Loss,Test Loss,Train Accuracy (%),Test Accuracy (%)
0.1,1.233725447156543,1.3035187681075928,58.904,54.48
0.3,1.3099550600074785,1.3184901912093232,55.93,54.2
0.5,1.430995256610511,1.382685253434416,51.452,52.51
0.7,1.647712496075521,1.5533892585463835,43.59,46.82
