Model,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0.001,1.0142611576535434,1.4318570703749158,69.236,53.13
0.01,1.0830494279055847,1.3849297341113118,65.942,53.02
0.1,1.566278894712389,1.5694148282076066,46.962,45.42
