Model,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0.0001,1.2398221960950286,1.389503252216615,59.358,51.68000000000001
0.001,1.278864600642214,1.3550152001432951,56.608,52.32
0.01,18.650446490471815,18.650939253351773,10.074,10.0
